observation_year,category,personalpotenzial,gewaltorientiert,source_document,source_url,source_publication_date,notes
2021,Rechtsextremismus,33900,13500,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Vorjahreswert aus VSB 2022 Pressemitteilung
2021,Reichsbuerger_Selbstverwalter,21000,2100,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Vorjahreswert aus VSB 2022 Pressemitteilung
2021,Linksextremismus,34700,,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Vorjahreswert aus VSB 2022 Pressemitteilung; Gewaltorientiert-Anteil nicht explizit angegeben
2021,Islamismus,28290,,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Vorjahreswert aus VSB 2022 Pressemitteilung
2021,Auslandsbezogener_Extremismus,28650,,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Vorjahreswert aus VSB 2022 Pressemitteilung
2022,Rechtsextremismus,38800,14000,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Primärquelle VSB 2022; bestätigt als Vorjahreswert in VSB 2023 Pressemitteilung
2022,Reichsbuerger_Selbstverwalter,23000,2300,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Primärquelle VSB 2022
2022,Linksextremismus,36500,,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Primärquelle VSB 2022; Gewaltorientiert: >25% des Gesamtwerts (kein exakter Wert angegeben)
2022,Islamismus,27480,,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Primärquelle VSB 2022; bestätigt als Vorjahreswert in VSB 2023 Pressemitteilung
2022,Auslandsbezogener_Extremismus,29750,,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Primärquelle VSB 2022; bestätigt als Vorjahreswert in VSB 2023 Pressemitteilung
2023,Rechtsextremismus,40600,14500,VSB 2023 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2024/pressemitteilung-2024-06-18-vsb-2023.html,2024-06-18,Primärquelle VSB 2023; bestätigt als Vorjahreswert in VSB 2024 Pressemitteilung und VSB 2024 Rechtsextremismus-Artikel
2023,Reichsbuerger_Selbstverwalter,25000,2500,VSB 2023 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2024/pressemitteilung-2024-06-18-vsb-2023.html,2024-06-18,Primärquelle VSB 2023; Anstieg um 2.000 gegenüber Vorjahr
2023,Linksextremismus,37000,,VSB 2023 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2024/pressemitteilung-2024-06-18-vsb-2023.html,2024-06-18,Primärquelle VSB 2023; Gewaltorientiert: >25% (kein exakter Wert)
2023,Islamismus,27200,,VSB 2023 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2024/pressemitteilung-2024-06-18-vsb-2023.html,2024-06-18,Primärquelle VSB 2023; bestätigt als Vorjahreswert in VSB 2024 Pressemitteilung
2023,Auslandsbezogener_Extremismus,30650,,VSB 2023 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2024/pressemitteilung-2024-06-18-vsb-2023.html,2024-06-18,Primärquelle VSB 2023; PKK-Anhänger: 15.000 (Vorjahr: 14.500)
2024,Rechtsextremismus,50250,15300,VSB 2024 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2025/pressemitteilung-2025-vsb-2024.html,2025-06-10,Primärquelle VSB 2024; bestätigt in VSB 2024 Rechtsextremismus-Artikel
2024,Reichsbuerger_Selbstverwalter,26000,2600,VSB 2024 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2025/pressemitteilung-2025-vsb-2024.html,2025-06-10,Primärquelle VSB 2024
2024,Linksextremismus,38000,,VSB 2024 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2025/pressemitteilung-2025-vsb-2024.html,2025-06-10,Primärquelle VSB 2024; Gewaltorientiert: >25% (kein exakter Wert)
2024,Islamismus,28280,9540,VSB 2024 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2025/pressemitteilung-2025-vsb-2024.html,2025-06-10,Primärquelle VSB 2024
2024,Auslandsbezogener_Extremismus,32500,22000,VSB 2024 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2025/pressemitteilung-2025-vsb-2024.html,2025-06-10,Primärquelle VSB 2024; PKK-Anhänger: 15.000 (unverändert)
