observation_year,indicator,value,category,source_document,source_url,source_publication_date,notes
2022,straftaten_gesamt_extremismus,35452,Alle Phänomenbereiche,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,BfV-Straftaten mit extremistischem Hintergrund; bestätigt als Vorjahreswert in VSB 2023 Pressemitteilung
2022,gewalttaten_gesamt_extremismus,2847,Alle Phänomenbereiche,VSB 2022 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2023/pressemitteilung-2023-4-vsb-2022.html,2023-06-20,Bestätigt als Vorjahreswert in VSB 2023 Pressemitteilung
2023,straftaten_gesamt_extremismus,39433,Alle Phänomenbereiche,VSB 2023 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2024/pressemitteilung-2024-06-18-vsb-2023.html,2024-06-18,Neuer Höchststand laut VSB 2023; bestätigt als Vorjahreswert in VSB 2024 Pressemitteilung
2023,gewalttaten_gesamt_extremismus,2761,Alle Phänomenbereiche,VSB 2023 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2024/pressemitteilung-2024-06-18-vsb-2023.html,2024-06-18,Bestätigt als Vorjahreswert in VSB 2024 Pressemitteilung
2023,straftaten_rechtsextremismus,25660,Rechtsextremismus,VSB 2024 Rechtsextremismus-Artikel,https://www.verfassungsschutz.de/DE/verfassungsschutz/der-bericht/vsb-rechtsextremismus/2024-vsb-rechtsextremismus_artikel.html,2025-06-10,Vorjahreswert aus VSB 2024 Rechtsextremismus-Artikel; abweichend von Gesamtstraftaten (andere Zählsystematik)
2023,gewalttaten_rechtsextremismus,1148,Rechtsextremismus,VSB 2024 Rechtsextremismus-Artikel,https://www.verfassungsschutz.de/DE/verfassungsschutz/der-bericht/vsb-rechtsextremismus/2024-vsb-rechtsextremismus_artikel.html,2025-06-10,Vorjahreswert aus VSB 2024 Rechtsextremismus-Artikel
2024,straftaten_gesamt_extremismus,57701,Alle Phänomenbereiche,VSB 2024 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2025/pressemitteilung-2025-vsb-2024.html,2025-06-10,Primärquelle VSB 2024; alle Phänomenbereiche kombiniert
2024,gewalttaten_gesamt_extremismus,2976,Alle Phänomenbereiche,VSB 2024 Pressemitteilung,https://www.verfassungsschutz.de/SharedDocs/pressemitteilungen/DE/2025/pressemitteilung-2025-vsb-2024.html,2025-06-10,Primärquelle VSB 2024
2024,straftaten_rechtsextremismus,37835,Rechtsextremismus,VSB 2024 Rechtsextremismus-Artikel,https://www.verfassungsschutz.de/DE/verfassungsschutz/der-bericht/vsb-rechtsextremismus/2024-vsb-rechtsextremismus_artikel.html,2025-06-10,Primärquelle VSB 2024; +47.4% ggü. 2023
2024,propagandadelikte_rechtsextremismus,24177,Rechtsextremismus,VSB 2024 Rechtsextremismus-Artikel,https://www.verfassungsschutz.de/DE/verfassungsschutz/der-bericht/vsb-rechtsextremismus/2024-vsb-rechtsextremismus_artikel.html,2025-06-10,63.9% der rechtsextremistischen Straftaten 2024
2024,gewalttaten_rechtsextremismus,1281,Rechtsextremismus,VSB 2024 Rechtsextremismus-Artikel,https://www.verfassungsschutz.de/DE/verfassungsschutz/der-bericht/vsb-rechtsextremismus/2024-vsb-rechtsextremismus_artikel.html,2025-06-10,+11.6% ggü. 2023 (1.148); 87.5% davon Körperverletzungen (1.121)
