year,category,category_label_de,offenses,violent_offenses,source,source_url,access_date,notes,share_pct,violent_share_pct,yoy_offenses_change_pct,yoy_violent_change_pct
2023,PMK-auslaendische-Ideologie,PMK -ausländische Ideologie-,5170,491,BMI/BKA PMK-Jahresbericht 2023,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/05/pmk2023.html,2025-05-20,,8.61,13.79,,
2024,PMK-auslaendische-Ideologie,PMK -ausländische Ideologie-,7343,975,BMI/BKA PMK-Jahresbericht 2024,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html,2025-05-20,681 of 975 violent offenses linked to Middle East conflict per BKA,8.72,23.74,42.03,98.57
2023,PMK-links,PMK -links-,7777,916,BMI/BKA PMK-Jahresbericht 2023,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/05/pmk2023.html,2025-05-20,,12.96,25.72,,
2024,PMK-links,PMK -links-,9971,762,BMI/BKA PMK-Jahresbericht 2024,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html,2025-05-20,,11.85,18.55,28.21,-16.81
2023,PMK-rechts,PMK -rechts-,28945,1270,BMI/BKA PMK-Jahresbericht 2023,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/05/pmk2023.html,2025-05-20,violent_offenses derived: 3561 total minus confirmed 2023 values for other four categories (916+491+90+794=2291); 3561-2291=1270; consistent with stated +17.17% change to 1488 in 2024,48.22,35.66,,
2024,PMK-rechts,PMK -rechts-,42788,1488,BMI/BKA PMK-Jahresbericht 2024,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html,2025-05-20,all 2024 figures from BMI/BKA joint press release 20 May 2025; categories sum to 84172 (verified),50.83,36.23,47.83,17.17
2023,PMK-religioese-Ideologie,PMK -religiöse Ideologie-,1458,90,BMI/BKA PMK-Jahresbericht 2023,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/05/pmk2023.html,2025-05-20,,2.43,2.53,,
2024,PMK-religioese-Ideologie,PMK -religiöse Ideologie-,1877,87,BMI/BKA PMK-Jahresbericht 2024,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html,2025-05-20,,2.23,2.12,28.74,-3.33
2023,PMK-sonstige,PMK -sonstige Zuordnung-,16678,794,BMI/BKA PMK-Jahresbericht 2023,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/05/pmk2023.html,2025-05-20,,27.78,22.3,,
2024,PMK-sonstige,PMK -sonstige Zuordnung-,22193,795,BMI/BKA PMK-Jahresbericht 2024,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html,2025-05-20,,26.37,19.36,33.07,0.13
