session_nr,date,speech_id,first_name,last_name,fraktion,speech_len,Parlamentarische Diskussionskultur / Debattenbeiträge,Ukraine / Russland / Europäische Sicherheitspolitik,"Bildung, Soziales und Kommunalfinanzierung",Energie- und Wirtschaftspolitik,Fragestunde und Parlamentarische Anfragen,Gesetzgebungsverfahren und Verwaltung,Bundeswehr / Auslandseinsätze / Verteidigung,"Demokratie, Gesellschaft und Wertedebatte",dominant_topic_id,dominant_topic_label
1,2021-10-26,ID20100100,Gabriele,Katzmarek,SPD,369,0.0175008006177432,0.0054594154012042,0.0101364680832747,0.0,0.0013004653500579,0.043549550746561,0.0052879387189308,0.0011040058665952,6,Gesetzgebungsverfahren und Verwaltung
1,2021-10-26,ID20100200,Stefan,Müller,CDU/CSU,547,0.0323925107663764,0.0018731657656004,0.0,0.0,0.0121744613062856,0.0165520663041617,0.0005768720920406,0.0294101692951973,1,Parlamentarische Diskussionskultur / Debattenbeiträge
1,2021-10-26,ID20100300,Britta,Haßelmann,Grüne,664,0.0325207876865957,0.0063543512631414,0.0038406635847988,0.0,0.0237508700371428,0.0272043357760504,0.002259018479987,0.0057963602310267,1,Parlamentarische Diskussionskultur / Debattenbeiträge
1,2021-10-26,ID20100400,Marco,Buschmann,FDP,661,0.0156463848195924,0.0029801733053035,0.0,0.0,0.0043783428614596,0.0249071646367645,0.0,0.0364462621370867,8,"Demokratie, Gesellschaft und Wertedebatte"
1,2021-10-26,ID20100500,Stephan,Brandner,AfD,900,0.035978318521938,0.0,0.0,0.0024625334478893,0.0013033840459722,0.0201803578507632,0.003174061961967,0.0353512395598103,1,Parlamentarische Diskussionskultur / Debattenbeiträge
1,2021-10-26,ID20100600,Jan,Korte,Die Linke,802,0.044072472081857,0.0,0.0180767997356111,0.0,0.0134520661005727,0.0164773607175855,0.0,0.0120642687073877,1,Parlamentarische Diskussionskultur / Debattenbeiträge
1,2021-10-26,ID20100700,Rolf,Mützenich,SPD,12,0.0076943183916605,0.0,0.0007788996174403,0.0,0.0161785138248071,8.063589735543537e-06,0.0,0.0,5,Fragestunde und Parlamentarische Anfragen
1,2021-10-26,ID20100800,Bärbel,Bas,SPD,14,0.0032714259752789,0.0,0.0,0.0,0.028047327960355,0.0,0.0012058521298151,0.0037698507881931,5,Fragestunde und Parlamentarische Anfragen
1,2021-10-26,ID20100900,Fabian,Jacobi,AfD,117,0.0187986815847027,0.0,0.0,0.0,0.0157962337831589,0.0060786839982668,0.0,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
1,2021-10-26,ID20101000,Aydan,Özoğuz,SPD,29,0.0,0.0,0.0010825629084816,0.0,0.0714651911760795,0.0,0.0,0.0,5,Fragestunde und Parlamentarische Anfragen
1,2021-10-26,ID20101100,Yvonne,Magwas,CDU/CSU,33,0.000275077598339,0.0,0.010474679157438,0.0,0.0150488381865577,0.005264401354994,0.0008569728753767,0.004748424686083,5,Fragestunde und Parlamentarische Anfragen
1,2021-10-26,ID20101200,Claudia,Roth,Grüne,32,0.0046491620346674,0.0003480786085628,0.0,0.0,0.0045813039128246,0.005194644588083,0.0020068373051936,0.0043534598465833,6,Gesetzgebungsverfahren und Verwaltung
1,2021-10-26,ID20101300,Wolfgang,Kubicki,FDP,29,0.007623309211349,0.0,0.0005530236263906,0.0,0.0224477986282309,0.0,0.0,0.0065451448780633,5,Fragestunde und Parlamentarische Anfragen
1,2021-10-26,ID20101400,Petra,Pau,Die Linke,16,0.0,0.0026184881697506,0.0022697060526249,0.0,0.0,0.0,0.0,0.0213104673291883,8,"Demokratie, Gesellschaft und Wertedebatte"
2,2021-11-11,ID20200100,Marianne,Schieder,SPD,370,0.0253149948328554,0.0027170642095937,0.0,0.0,0.0,0.0296713123079572,0.0067874871971871,0.0,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20200200,Michael,Grosse-Brömer,CDU/CSU,487,0.0386790616527386,0.0,0.0074926127208688,0.0,0.0,0.0172331256156957,0.0031830642284766,0.0085955080330495,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20200300,Britta,Haßelmann,Grüne,385,0.0343708441330487,0.0006332587252109,0.0,0.0,0.0073232981860748,0.0199480642456241,0.0005298132671488,0.0083302039241802,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20200400,Stephan,Brandner,AfD,583,0.0342294917909163,0.0033524619299202,0.005600424247649,0.0057565023171947,0.0,0.0111456438859718,0.0,0.0191275025428521,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20200500,Bettina,Stark-Watzinger,FDP,374,0.0354812921240551,0.0009739150061342,0.0013079529387803,0.0049776028400498,0.0006189517920471,0.0,0.0,0.0313659651483547,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20200600,Jan,Korte,Die Linke,517,0.0572689628731723,0.0006119066904749,0.0,0.0,0.0047226594993542,0.01387919734258,0.0020928854216899,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20200700,Olaf,Scholz,Unbekannt,1559,0.0012429950488189,0.0045081679488333,0.0263733331982816,0.0220856192463916,0.0123467361686549,0.0553167645626484,0.0,0.0313933287278471,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20200800,Thomas,Ehrhorn,AfD,150,0.0140603214041261,0.0,0.0,0.0,0.0464541701072848,0.0041723543018734,0.0,0.0146689467792387,5,Fragestunde und Parlamentarische Anfragen
2,2021-11-11,ID20200900,Olaf,Scholz,Unbekannt,304,0.0169028439443762,0.0,0.0019892890807048,0.0028860326677313,0.0193776397207779,0.0239467966155599,0.0008682765847345,0.0195235517836241,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20201000,Ralph,Brinkhaus,CDU/CSU,1151,0.0431468956881452,0.0080734605742106,0.0209883082678708,0.0,0.000521396980946,0.0354603203845925,0.0019566198805458,0.0002882952780276,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20201100,Katrin,Göring-Eckardt,Grüne,1054,0.0278926592418325,0.0015997551092869,0.0312270984198123,0.0,0.0227889155740746,0.0317357354149017,0.0,0.016117349425182,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20201200,Marco,Buschmann,FDP,629,0.0312092125696756,0.0,0.0015969543610988,0.0052533106250588,0.0073235637159198,0.0167862236943328,0.004254275525595,0.0266754374712944,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20201300,Sebastian,Münzenmaier,AfD,599,0.0209239279509811,0.0,0.0,0.0,0.0,0.0440805316811039,0.0033863886775756,0.0366033743304867,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20201400,Susanne,Ferschl,Die Linke,603,0.0351986548136747,0.0,0.0266060990731952,0.0,0.0,0.0201371631931261,0.0022989484880442,0.0025592521196699,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20201500,Dirk,Wiese,SPD,851,0.0167544364633486,0.0092771054508373,0.0284009439228109,0.0,0.0125196727560336,0.048534153781149,0.0011495181341384,0.0,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20201600,Alexander,Dobrindt,CDU/CSU,688,0.0225237121836063,0.0122267550557484,0.0189118977265199,0.0037455111370736,0.0049670850064019,0.0267976916726121,0.0010361944662756,0.0087785653457098,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20201700,Maria,Klein-Schmeink,Grüne,556,0.0124916936246065,0.0,0.0381362915562965,0.0042739488918015,0.0,0.0351151730496779,0.0,0.0062901727038537,3,"Bildung, Soziales und Kommunalfinanzierung"
2,2021-11-11,ID20201800,Christine,Aschenberg-Dugnus,FDP,620,0.0173359743389486,0.0,0.030144782392164,0.0043021002438269,0.001579442487471,0.0455385059330597,0.0051496099542915,0.000802983123906,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20201900,Jörg,Schneider,AfD,468,0.0336230625302289,0.0018088038451585,0.0106813516763736,0.0,0.0006853052291437,0.0046873635357599,0.0,0.0180353826175454,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20202000,Jan-Marco,Luczak,CDU/CSU,1147,0.0414708390393802,0.00140819142872,0.0,0.0,0.0132838121445908,0.0412651826509164,0.0009823636538604,0.0099192912371885,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20202100,Sabine,Dittmar,SPD,592,0.0081699320985614,0.0,0.0105914085787474,0.0022529711296288,0.0,0.0450343205125868,0.0037787635170433,0.0306201004978537,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20202200,Nina,Warken,CDU/CSU,481,0.0141698433750127,0.0,0.0,0.0002531138286966,0.0,0.068203808702349,0.0039970168118187,0.010573931724641,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20202300,Thorsten,Frei,CDU/CSU,907,0.0425176071343903,0.0342716211327682,0.0,0.0006676906264141,0.0124603553145335,0.0068145931601868,0.002256088363041,0.0177415843582022,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20202400,Heiko,Maas,Unbekannt,905,0.011994505013632,0.0534703210786191,0.0106185250238972,0.0,0.0092022541269249,0.0158375644211278,0.0,0.0265223284240137,2,Ukraine / Russland / Europäische Sicherheitspolitik
2,2021-11-11,ID20202500,Franziska,Brantner,Grüne,638,0.0109366679020508,0.0471372598435744,0.0184580914389838,0.0,0.0098026888172966,0.0,0.0053035380050323,0.0304458039201378,2,Ukraine / Russland / Europäische Sicherheitspolitik
2,2021-11-11,ID20202600,Joachim,Stamp,Unbekannt,353,0.019571262863832,0.0184722530138345,0.0184193489365058,0.0039470451238888,0.002965841256022,0.0161111091110543,0.0,0.0052205431556019,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20202700,Gottfried,Curio,AfD,490,0.0241482434940968,0.0147131324586796,0.0,0.0095914177217392,0.0,0.0,0.0055507620068039,0.0297005078914217,8,"Demokratie, Gesellschaft und Wertedebatte"
2,2021-11-11,ID20202800,Gökay,Akbulut,Die Linke,396,0.0079004327602063,0.0361339369791147,0.0,0.000825046086855,0.0,0.0137846089266381,0.0,0.0316702804814387,2,Ukraine / Russland / Europäische Sicherheitspolitik
2,2021-11-11,ID20202900,Markus,Frohnmaier,AfD,355,0.0367117229810486,0.0224670298458087,0.0093801105093212,0.0,0.0134526201253752,0.0024401802340619,0.0,0.0101202286406794,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20203000,Johann David,Wadephul,CDU/CSU,565,0.04002211051712,0.0186780251216545,0.0112300423727549,0.0,0.012294957221511,0.0070734966776779,0.0025861005849838,0.0105534733664983,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20203100,Lars,Castellucci,SPD,454,0.0228401307393342,0.0211226652228378,0.0,0.0,0.0011329591205856,0.0,0.0,0.0349761133386804,8,"Demokratie, Gesellschaft und Wertedebatte"
2,2021-11-11,ID20203200,Zaklin,Nastic,Die Linke,241,0.0134603367079168,0.0198829908354623,0.0018183617425507,0.0,0.0106068174868197,0.0,0.0088156503318551,0.0341101556005725,8,"Demokratie, Gesellschaft und Wertedebatte"
2,2021-11-11,ID20203300,Lars,Castellucci,SPD,165,0.0171352056113447,0.0193858056287989,0.0163323436761363,0.0,0.0093789624540661,0.0082849614289428,0.0012881395273345,0.0025550387387488,2,Ukraine / Russland / Europäische Sicherheitspolitik
2,2021-11-11,ID20203400,Andrea,Lindholz,CDU/CSU,561,0.0184732073989103,0.0261730747186004,0.0012039916312491,0.0115439845198328,0.0,0.0104240695376919,0.0,0.018974290611657,2,Ukraine / Russland / Europäische Sicherheitspolitik
2,2021-11-11,ID20203500,Julian,Pahlke,Grüne,196,0.0248853029775921,0.0195063314415822,0.0,0.0,0.0,0.0,0.0,0.0171997173290112,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20203600,Andrea,Lindholz,CDU/CSU,199,0.0256400024019549,0.0213472869015754,0.0,0.0,0.0,0.0,0.0,0.0137071245416116,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20203700,Lisa,Paus,Grüne,665,0.019986975769121,0.0,0.0,0.0144838088750486,0.0,0.0599797623993354,0.0045729235723558,0.0,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20203800,Sarah,Ryglewski,Unbekannt,697,0.0099201875501425,0.0004054875340474,0.0090380877301378,0.0,0.0183113290085977,0.076318989026077,0.0,0.0,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20203900,Antje,Tillmann,CDU/CSU,530,0.0296534795116521,0.0,0.0,0.0099945388692961,0.0016359284143529,0.0336798245516476,0.0,0.0,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20204000,Till,Mansmann,FDP,593,0.0279403467122279,0.0,0.0164498316593843,0.0142801985253003,0.0140815494969508,0.0330968194498438,0.0038599898142403,0.0003578452056303,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20204100,Klaus,Stöber,AfD,582,0.0262369513230367,0.003703654797181,0.0,0.0155978535548157,0.0062783204790443,0.0456099513976357,0.0,0.0009648386652198,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20204200,Christian,Görke,Die Linke,349,0.038907316975394,0.0,0.0015579893982318,0.0,0.0017825665778109,0.0245741658641403,0.0005705593149077,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20204300,Cansel,Kiziltepe,SPD,451,0.0193893182963568,0.00366398066062,0.000659291153994,0.0014659915252914,0.0,0.0737939053501272,0.0,0.0,6,Gesetzgebungsverfahren und Verwaltung
2,2021-11-11,ID20204400,Fritz,Güntzler,CDU/CSU,639,0.035786871450523,0.0,0.0,0.0,0.0028512847211572,0.0357765346046487,0.0,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20204500,Karsten,Hilse,AfD,677,0.0346777605780725,0.0003191321439995,0.0,0.0345403361208637,0.0,0.0,0.0050056548598509,0.0270369575739442,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20204600,Timon,Gremmels,SPD,848,0.0355054383259319,0.0,0.0,0.0510845364664954,0.013176678677497,0.0,0.0002240618678044,0.003669162246238,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20204700,Karsten,Hilse,AfD,277,0.0179047692293214,0.0068253875328967,0.0,0.048635558912037,0.0063965636370969,0.0,0.0,0.0,4,Energie- und Wirtschaftspolitik
