topic_id,rank,term,weight,topic_label
1,1,ihnen,1.092254,Parlamentarische Diskussionskultur / Debattenbeiträge
1,2,was,1.091233,Parlamentarische Diskussionskultur / Debattenbeiträge
1,3,nichts,0.826324,Parlamentarische Diskussionskultur / Debattenbeiträge
1,4,kollege,0.735013,Parlamentarische Diskussionskultur / Debattenbeiträge
1,5,gar,0.704841,Parlamentarische Diskussionskultur / Debattenbeiträge
1,6,wirklich,0.657322,Parlamentarische Diskussionskultur / Debattenbeiträge
1,7,einfach,0.638323,Parlamentarische Diskussionskultur / Debattenbeiträge
1,8,union,0.624888,Parlamentarische Diskussionskultur / Debattenbeiträge
1,9,grünen,0.602171,Parlamentarische Diskussionskultur / Debattenbeiträge
1,10,wie,0.590423,Parlamentarische Diskussionskultur / Debattenbeiträge
1,11,ihre,0.587156,Parlamentarische Diskussionskultur / Debattenbeiträge
1,12,spd,0.583407,Parlamentarische Diskussionskultur / Debattenbeiträge
1,13,alles,0.577513,Parlamentarische Diskussionskultur / Debattenbeiträge
1,14,vielleicht,0.568722,Parlamentarische Diskussionskultur / Debattenbeiträge
1,15,wäre,0.56763,Parlamentarische Diskussionskultur / Debattenbeiträge
2,1,ukraine,1.49925,Ukraine / Russland / Europäische Sicherheitspolitik
2,2,russland,0.911983,Ukraine / Russland / Europäische Sicherheitspolitik
2,3,europa,0.870216,Ukraine / Russland / Europäische Sicherheitspolitik
2,4,krieg,0.820278,Ukraine / Russland / Europäische Sicherheitspolitik
2,5,europäischen,0.671064,Ukraine / Russland / Europäische Sicherheitspolitik
2,6,putin,0.653764,Ukraine / Russland / Europäische Sicherheitspolitik
2,7,europäische,0.53662,Ukraine / Russland / Europäische Sicherheitspolitik
2,8,russischen,0.523649,Ukraine / Russland / Europäische Sicherheitspolitik
2,9,nato,0.480038,Ukraine / Russland / Europäische Sicherheitspolitik
2,10,staaten,0.479965,Ukraine / Russland / Europäische Sicherheitspolitik
2,11,frieden,0.447745,Ukraine / Russland / Europäische Sicherheitspolitik
2,12,bundeskanzler,0.411399,Ukraine / Russland / Europäische Sicherheitspolitik
2,13,russische,0.410249,Ukraine / Russland / Europäische Sicherheitspolitik
