topic,rank,term,weight
Topic 1,1,instrument,0.5738550382421719
Topic 1,2,wasserstoff,0.565564794151134
Topic 1,3,energien,0.47425589318863565
Topic 1,4,treibhausgasemissionen,0.4236177169028582
Topic 1,5,verkehr,0.4236177169028582
Topic 1,6,industrie,0.4236177169028582
Topic 1,7,energiewende,0.40164546091188397
Topic 1,8,klimaschutz,0.3854108708361552
Topic 1,9,deutlich,0.3798116037591215
Topic 1,10,richtigen,0.37159174576926707
Topic 1,11,anreize,0.3709493148590267
Topic 1,12,preis,0.3474678450335448
Topic 2,1,digitale,0.411427535587555
Topic 2,2,öffentlichen,0.2872293469485129
Topic 2,3,verwaltung,0.28019512198071417
Topic 2,4,einsatz,0.27213048585062605
Topic 2,5,digitalisierung,0.26540934094901175
Topic 2,6,hand,0.21297931073928053
Topic 2,7,gigabit,0.19546177326980818
Topic 2,8,systemen,0.19458383499030105
Topic 2,9,öffentlichen sektor,0.1934381252515182
Topic 2,10,sektor,0.1934381252515182
Topic 2,11,öffentlichen verwaltung,0.18717509502670107
Topic 2,12,bleiben,0.17750014741493592
Topic 3,1,mittel,0.3782530611197952
Topic 3,2,stärken,0.30502134163291283
Topic 3,3,bildung,0.2636070885319388
Topic 3,4,investitionen,0.24906115363558148
Topic 3,5,unserer,0.19665299563558863
Topic 3,6,branchen,0.1961428664349692
Topic 3,7,aufgrund,0.18882932688671836
Topic 3,8,schulen,0.18882932688671836
Topic 3,9,haushalts,0.1690739308558498
Topic 3,10,zukunftsinvestitionen,0.1690739308558498
Topic 3,11,förderung,0.1690739308558498
Topic 3,12,nahverkehr,0.1690739308558498
Topic 4,1,unternehmen,0.3490012154093629
Topic 4,2,bürger,0.20243867560282852
Topic 4,3,bürokratieabbau,0.19284695950381556
Topic 4,4,onlinezugangsgesetz guter,0.18363172421413818
Topic 4,5,guter,0.18363172421413818
Topic 4,6,unternehmen bürger,0.18363172421413818
Topic 4,7,zeit ressourcen,0.18363172421413818
Topic 4,8,onlinezugangsgesetz,0.1673458336688567
Topic 4,9,digitalisierung,0.16339557430476323
Topic 4,10,staat,0.16329717741128288
Topic 4,11,endlich,0.16310608005236724
Topic 4,12,fdp,0.1597873699326569
Topic 5,1,gesellschaftlicher,0.23544316765216744
Topic 5,2,altersarmut,0.23544316765216744
Topic 5,3,hinnehmen,0.23544316765216744
Topic 5,4,rente,0.22740942508112932
Topic 5,5,pflege,0.22740942508112932
Topic 5,6,menschen,0.2262593009029598
Topic 5,7,sichert,0.21583212968948395
Topic 5,8,einführung,0.21583212968948395
Topic 5,9,rentenniveau,0.21583212968948395
Topic 5,10,pflegebedürftige,0.21583212968948395
Topic 5,11,angewiesen,0.21583212968948395
Topic 5,12,öffentliche,0.21223113370552754
