token,count
deutschland,12
digitale,11
digitalisierung,9
mittel,8
öffentlichen,8
unternehmen,7
fordern,7
verwaltung,7
haushalt,6
investitionen,6
stärken,6
setzt,6
klimaschutz,6
unserer,5
investieren,5
rahmenbedingungen,5
alle,5
wirtschaftliche,5
bürger,5
ressourcen,5
menschen,5
einsatz,5
setzen,4
klare,4
sozialen,4
zeit,4
frage,4
bleiben,4
gesetzliche,4
dauerhaft,4
bürokratieabbau,4
energien,4
deutlich,4
hand,4
wasserstoff,4
infrastruktur,3
bildung,3
digitalen,3
langfristig,3
wettbewerbsfähigkeit,3
innovation,3
wirtschaft,3
richtigen,3
gleichzeitig,3
rentenversicherung,3
versorgung,3
statt,3
wettbewerb,3
energiewende,3
gezielt,3
fdp,3
staat,3
weniger,3
endlich,3
onlinezugangsgesetz,3
anreize,3
pflege,3
öffentliche,3
rente,3
ihre,3
sicherstellen,3
sektor,3
systemen,3
bundes,3
gigabit,3
konsequent,3
instrument,3
instrumente,3
zukunftsinvestitionen,2
prioritäten,2
landes,2
notwendigen,2
nahverkehr,2
schulen,2
schuldenbremse,2
halten,2
zentrales,2
haushalts,2
förderung,2
erhöhen,2
forschungseinrichtungen,2
finanzielle,2
soziale,2
stabilisiert,2
niemand,2
aufgrund,2
notwendige,2
ernst,2
künftige,2
cdu,2
csu,2
ausgaben,2
denen,2
union,2
bessere,2
steuerpolitik,2
planungssicherheit,2
bedingungen,2
internationalen,2
transformation,2
erneuerbare,2
notwendig,2
gesellschaftliche,2
kosten,2
jeder,2
heute,2
schaffen,2
branchen,2
freiheit,2
ziel,2
bürokratie,2
innovationen,2
fördern,2
guter,2
rahmen,2
konkrete,2
verwaltungsdienstleistungen,2
richtige,2
aktuell,2
wohnungsbau,2
dringend,2
hohe,2
investiert,2
gesellschaftlicher,2
altersarmut,2
hinnehmen,2
massiv,2
recht,2
behörden,2
erhalten,2
wichtiger,2
schritt,2
bietet,2
chancen,2
reduzieren,2
nationalen,2
standards,2
transparenten,2
europäischen,2
hinterher,2
nachholbedarf,2
liegt,2
fehlenden,2
nationale,2
schafft,2
potenzial,2
rechtliche,2
grundrechte,2
entscheidungen,2
breitbandausbau,2
regionen,2
beitragen,2
energieverbrauch,2
systeme,2
erhebliche,2
energie,2
open,2
stärkt,2
zentrale,2
politische,2
anliegen,2
markt,2
lösungen,2
würde,2
deutschen,2
bund,2
allein,2
jahre,2
bereich,2
besser,2
verstärken,2
wer,2
algorithmen,2
pariser,2
klimaabkommen,2
verkehr,2
industrie,2
ansatz,2
treibhausgasemissionen,2
mindestens,2
steigen,2
preis,2
gemeinsam,2
welche,2
sollten,2
kernenergie,2
wirtschaftlichen,2
geraten,2
technologieneutralität,2
genehmigungsverfahren,2
rentenniveau,2
einführung,2
sichert,2
angewiesen,2
pflegeversicherung,2
pflegebedürftige,2
ergänzt,2
altersvorsorge,2
attraktiver,2
ausbildung,2
gut,2
bundeshaushalt,1
zusammenhalt,1
unseres,1
haushaltsentwurf,1
sicher,1
großen,1
herausforderungen,1
bereitstellen,1
ausbau,1
sanierung,1
kindergärten,1
auszahlen,1
deutschlands,1
wollens,1
müssens,1
element,1
forschung,1
zusammenarbeit,1
wissenschaft,1
führender,1
standort,1
technologische,1
sorgen,1
absicherung,1
krankenversicherung,1
geldmangel,1
medizinische,1
verzichten,1
verständnis,1
sozialer,1
marktwirtschaft,1
dank,1
vorliegende,1
leider,1
grundlegenden,1
haushaltsregeln,1
nachhaltiger,1
konsolidierung,1
strukturelle,1
ausgabensteigerungen,1
finanzierbar,1
hindernis,1
schutzwall,1
generationen,1
wiederholt,1
notwendigkeit,1
hingewiesen,1
einfach,1
haushaltsdisziplin,1
grundlage,1
stabilität,1
ausgeben,1
einnehmen,1
zukunft,1
kinder,1
belasten,1
was,1
stattdessen,1
reformen,1
ausgabenseite,1
verwaltungsmodernisierung,1
effizientere,1
mittelverwendung,1
stellschrauben,1
drehen,1
stehen,1
politik,1
wachstum,1
höhere,1
staatsausgaben,1
erzeugt,1
entlastend,1
wirken,1
belastend,1
faire,1
starke,1
sozialstaat,1
finanzieren,1
ihnen,1
wichtige,1
signale,1
ökologische,1
aufgestockt,1
richtig,1
klimakrise,1
größte,1
herausforderung,1
weit,1
höheren,1
klimaschäden,1
bewahren,1
spart,1
morgen,1
mehrere,1
schadenskosten,1
fiskalisch,1
klug,1
leichtfertig,1
begrüßen,1
mittelerhöhung,1
bundesklimafonds,1
wärmepumpen,1
gebäudesanierung,1
öffentlichem,1
zugleich,1
arbeitsplätze,1
zukunftsfähigen,1
regionale,1
wertschöpfung,1
konsequentere,1
ausrichtung,1
gesamten,1
klimaziele,1
subventionen,1
fossile,1
energieträger,1
abgebaut,1
eingesparten,1
grüne,1
fließen,1
fiskalische,1
vernunft,1
seiten,1
derselben,1
medaille,1
tritt,1
kluge,1
priorisierung,1
schuldenfinanzierung,1
gekennzeichnet,1
schlanken,1
effizienten,1
kernaufgaben,1
konzentriert,1
phrase,1
konkretes,1
wirtschaftspolitisches,1
regulierung,1
unternehmerische,1
standorts,1
sichern,1
echtem,1
betrieben,1
ergebnisse,1
folgen,1
warten,1
einfache,1
sparen,1
steuerentlastungen,1
geschenk,1
wirtschaftspolitische,1
antwort,1
schwierige,1
wachstumsumfeld,1
private,1
verpasste,1
chance,1
gerechtigkeit,1
oberen,1
einkommensgruppen,1
erneut,1
steuervorteilen,1
profitieren,1
grundsicherung,1
ausreichend,1
finanziert,1
schere,1
arm,1
reich,1
größer,1
kleiner,1
verfügbaren,1
daten,1
eindeutig,1
gerechtere,1
vermögen,1
erbschaften,1
angemessen,1
besteuert,1
dadurch,1
entstehenden,1
daseinsvorsorge,1
armutsfest,1
grundkonsens,1
vorliegenden,1
widerspiegelt,1
älterer,1
betroffen,1
bedroht,1
gesellschaftliches,1
versagen,1
wohnungsfrage,1
ungelöst,1
bezahlbarer,1
wohnraum,1
grundrecht,1
bereitgestellten,1
reichen,1
weitem,1
wichtigsten,1
aufgaben,1
legislaturperiode,1
geschaffen,1
umsetzung,1
bürgerinnen,1
schnelle,1
nutzerfreundliche,1
datenangebot,1
ausgebaut,1
prozesse,1
digitalisieren,1
registermodernisierungsgesetz,1
abzubauen,1
behördengänge,1
überflüssig,1
künstliche,1
intelligenz,1
enorme,1
verwaltungsprozesse,1
beschleunigen,1
antragsbearbeitungen,1
automatisieren,1
fehlerquoten,1
datenschutz,1
transparenz,1
gewahrt,1
erklärbar,1
fair,1
kontrollierbar,1
unterstützen,1
einrichtung,1
kompetenzzentrums,1
berät,1
vorreiterrolle,1
ethischen,1
nutzung,1
übernehmen,1
hinkt,1
verwaltungsdigitalisierung,1
vergleich,1
behauptung,1
rankings,1
egovernment,1
index,1
belegt,1
erheblichen,1
ursache,1
primär,1
geld,1
fragmentierten,1
zuständigkeiten,1
parallelen,1
kommunalebene,1
plattformstrategie,1
silodenken,1
überwindet,1
echte,1
interoperabilität,1
verwaltungsebenen,1
tatsächlich,1
birgt,1
risiken,1
hoheitlichen,1
verfahren,1
regulieren,1
schützen,1
algorithmische,1
nachvollziehbar,1
anfechtbar,1
schneller,1
voranschreiten,1
flächendeckendes,1
internet,1
ländliche,1
zurück,1
regionalen,1
chancengerechtigkeit,1
nachhaltigkeit,1
gehören,1
zusammen,1
smarte,1
infrastrukturen,1
wesentlich,1
unseren,1
senken,1
effizienter,1
nutzen,1
intelligente,1
stromnetze,1
mobilitätslösungen,1
datengestützte,1
umweltmonitoring,1
bereiche,1
ökologischen,1
blick,1
behalten,1
große,1
modelle,1
verbrauchen,1
mengen,1
rechenleistung,1
verpflichtende,1
nachhaltigkeitsberichterstattung,1
fußabdruck,1
transparent,1
source,1
data,1
grundpfeiler,1
demokratischen,1
digitalstrategie,1
software,1
entwickeln,1
quellcode,1
öffentlich,1
zugänglich,1
vertrauen,1
ermöglicht,1
externe,1
überprüfung,1
verhindert,1
abhängigkeiten,1
einzelnen,1
anbietern,1
datensouveränität,1
nebenthemen,1
europäischer,1
ebene,1
vertreten,1
staatliche,1
lenkung,1
thema,1
bedeutet,1
technologieneutrale,1
privatwirtschaft,1
entwickelt,1
besten,1
überregulierung,1
innovativen,1
globalen,1
schaden,1
verwaltungsprozess,1
papierbasiert,1
läuft,1
kostet,1
wertvolle,1
riesiges,1
effizienzpotenzial,1
heben,1
erster,1
umsetzungsgeschwindigkeit,1
enttäuschend,1
verbindliche,1
fristen,1
sanktionsmechanismen,1
länder,1
liefern,1
freiwilligkeit,1
reicht,1
vergangenen,1
gezeigt,1
schließlich,1
wagniskapital,1
startups,1
deeptech,1
exzellente,1
hochschulen,1
darin,1
forschungsergebnissen,1
marktfähige,1
produkte,1
bestehende,1
ungleichheiten,1
internetzugang,1
smartphone,1
besitzt,1
dienstleistungen,1
bedienen,1
abgehängt,1
versorgt,1
analoge,1
zugangswege,1
verwaltungsleistungen,1
angebote,1
ergänzung,1
ersetzung,1
ältere,1
behinderungen,1
geringen,1
kompetenzen,1
gleichwertige,1
warnen,1
voreiligen,1
diskriminierungen,1
reproduzieren,1
verzerrten,1
trainingsdaten,1
gefüttert,1
unabhängige,1
audits,1
verbot,1
gruppen,1
benachteiligen,1
datenschutzgrundverordnung,1
baustein,1
angewendet,1
interessen,1
ausgehöhlt,1
kritische,1
infrastrukturaufgabe,1
vergleichbar,1
bau,1
straßen,1
schienen,1
anschlüsse,1
fördermittel,1
bereit,1
koordiniert,1
ausbauprogramme,1
ländern,1
ländlichen,1
besteht,1
erheblicher,1
akzeptieren,1
geografischen,1
lage,1
abhängt,1
förderprogramm,1
zielt,1
unterversorgte,1
gebiete,1
schließt,1
lücke,1
stadt,1
land,1
klimaschutzgesetz,1
seinen,1
verpflichtungen,1
nachkommen,1
gesetzlich,1
verankerten,1
sektorziele,1
gebäude,1
landwirtschaft,1
fortschritte,1
messbar,1
politisch,1
rechenschaftspflichtig,1
sinken,1
ehrgeizig,1
machbar,1
politischen,1
weichen,1
guten,1
weg,1
anteil,1
erneuerbarer,1
strommix,1
historischen,1
höchstwert,1
erreicht,1
gebäudesektor,1
hinken,1
zielen,1
sanierungsrate,1
erfordert,1
ambitioniertere,1
förderprogramme,1
sowie,1
mindeststandards,1
energetische,1
renovierungen,1
sozial,1
gerechte,1
ausgestaltung,1
einkommensschwächere,1
haushalte,1
umstieg,1
klimafreundliche,1
heizungen,1
unterstützt,1
wichtiges,1
marktwirtschaftliches,1
klimafreundliches,1
verhalten,1
plädieren,1
schrittweise,1
erhöhung,1
preises,1
verbunden,1
ausgleichsmechanismen,1
lastenverteilung,1
gerecht,1
gestalten,1
generationsübergreifende,1
aufgabe,1
angehen,1
steht,1
klimazielen,1
streiten,1
darüber,1
wege,1
effizientesten,1
sozialverträglichsten,1
technologieoffenheit,1
leitprinzip,1
klimapolitik,1
einzige,1
technologie,1
breites,1
portfolio,1
erneuerbaren,1
kohlenstoffabscheidung,1
entscheiden,1
technologien,1
durchsetzen,1
lasten,1
deutsche,1
preise,1
druck,1
produktion,1
ausland,1
verlagern,1
emissionen,1
exportiert,1
vermieden,1
kontraproduktiv,1
europaweiter,1
internationaler,1
wäre,1
wirkungsvoller,1
alleingänge,1
energiesicherheit,1
vernachlässigt,1
ausstieg,1
entscheidung,1
rückgängig,1
stromversorgung,1
dunkelflauten,1
zuverlässig,1
bleibt,1
marktwirtschaftliche,1
europäische,1
emissionshandel,1
effizienteste,1
kosteneffizient,1
staatlicher,1
verbote,1
preissignale,1
verbrennerverbot,1
lehnen,1
verletzt,1
automobilindustrie,1
ihren,1
innovationsmöglichkeiten,1
einschränkt,1
fuels,1
ebenfalls,1
klimaneutral,1
warum,1
optionen,1
vornherein,1
ausschließen,1
stromleitungen,1
windkraftanlagen,1
jahrelang,1
feststecken,1
tragen,1
kürzere,1
verfahrensdauern,1
klarere,1
großes,1
dekarbonisierung,1
aufbau,1
wasserstoffinfrastruktur,1
internationale,1
partnerschaften,1
stützen,1
günstig,1
produzierten,1
grünen,1
importieren,1
rentenpolitik,1
armutsvermeidung,1
ausgerichtet,1
randphänomen,1
betrifft,1
tendenz,1
steigend,1
skandal,1
rentenerhöhung,1
durchschnittslohns,1
mindestrente,1
existenzminimum,1
längst,1
überfällig,1
gearbeitet,1
alter,1
sozialleistungen,1
grundlegend,1
reformiert,1
pflegekosten,1
kontinuierlich,1
viele,1
familien,1
not,1
solidarische,1
einschließt,1
beamte,1
selbstständige,1
gesundheitssystem,1
finanzierung,1
privatwirtschaftliche,1
renditeorientierung,1
krankenhäuser,1
profitcenter,1
bedarfsplanung,1
medizinischen,1
notwendigkeiten,1
orientiert,1
kennzahlen,1
rentenreform,1
kapitalgedeckte,1
elemente,1
rentenpaket,1
heutige,1
rentnerinnen,1
rentner,1
generationenkapitals,1
innovativer,1
kapitalmarktbasierte,1
erträge,1
dies,1
beitragssatz,1
stabil,1
demografiefest,1
betriebliche,1
beschäftigte,1
niedrigeren,1
einkommen,1
säulen,1
gestärkt,1
pflegefachkräften,1
verbesserung,1
arbeitsbedingungen,1
gute,1
ausgebildetes,1
bezahltes,1
personal,1
wertschätzung,1
pflegekräfte,1
bildungspolitik,1
sozialpolitik,1
bildungserfolg,1
kindern,1
hängt,1
stark,1
vom,1
sozioökonomischen,1
hintergrund,1
eltern,1
ungerecht,1
wirtschaftlich,1
ineffizient,1
verschwenden,1
enormes,1
talentpotenzial,1
bildungspakt,1
frühkindliche,1
berufliche,1
erhöht,1
kind,1
mangelnder,1
seiner,1
bildungschance,1
benachteiligt,1
ganztagsschulen,1
kleinere,1
klassen,1
schulsozialarbeit,1
duale,1
berufsausbildung,1
erfolgsmodell,1
ausbildungsvergütungen,1
schlecht,1
tariflich,1
organisierten,1
auskömmlich,1
gleichwertigkeit,1
beruflicher,1
akademischer,1
gesellschaftlich,1
stärker,1
verankern,1
