topic_id,topic_label,rank_in_topic,topic_score,session_nr,date,speech_id,speaker_first,speaker_last,fraktion,speech_len_words,text_preview_100w,source_note
1,Parlamentarische Diskussionskultur / Debattenbeiträge,1,0.0723,159,2024-03-20,ID2015915500,Johannes,Steiniger,CDU/CSU,1364,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! Lieber Max Mordhorst, du hast eben erwähnt: „In 16 Jahren …“; die Platte kennen wir ja. Also, um eines mal festzustellen: Wir haben in den 16 Jahren den Agrardiesel, der ja schon öfter zur Debatte stand, immer gerettet. Kaum ist die FDP wieder im Deutschen Bundestag und in der Koalition, fällt er schon nach zwei Jahren weg. Insofern wäre ich an der Stelle mal ein bisschen vorsichtig. Es wurde schon auf den Antrag der","Deutscher Bundestag, 159. Sitzung, 2024-03-20, Rede-ID: ID2015915500"
1,Parlamentarische Diskussionskultur / Debattenbeiträge,2,0.0663,143,2023-12-13,ID2014316500,Wolfgang,Kubicki,FDP,1529,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! Zum Antrag der AfD-Fraktion muss ich eigentlich nicht viel sagen. Als ich ihn gelesen habe, war mir klar: Der muss von Stephan Brandner geschrieben worden sein, weil er juristische Kenntnisse vortäuscht, die offensichtlich nicht vorhanden sind. Hätten Sie die Entscheidung des Bundesverfassungsgerichts vom 22. März 2022 im Organstreitverfahren, mit dem Sie sich ja in das Präsidium einklagen wollten, gelesen oder ansatzweise verstanden, dann hätte Ihnen einleuchten müssen, dass dieser Antrag ohne rechtliche Substanz ist.","Deutscher Bundestag, 143. Sitzung, 2023-12-13, Rede-ID: ID2014316500"
1,Parlamentarische Diskussionskultur / Debattenbeiträge,3,0.0663,179,2024-06-28,ID2017902100,Mathias,Middelberg,CDU/CSU,879,"Herr Herbrand, lobenswerterweise haben Sie ja angesprochen, dass wir eine Wirtschaftswende brauchen. Da sind wir mit Ihnen völlig einer Meinung. Wir finden es auch sehr lobenswert und anerkennenswert, dass die FDP ungefähr jede Woche einen Präsidiumsbeschluss fasst, was dazu erforderlich ist, zum Beispiel Dynamisierungspakete. Vieles davon teilen wir; das unterstützen wir auch ausdrücklich. Das Problem ist nur: Sie sind Teil der Regierung, und Sie müssen jetzt mal irgendwann liefern. Wenn der Problembefund so dramatisch ist und wir wie zu Anfang","Deutscher Bundestag, 179. Sitzung, 2024-06-28, Rede-ID: ID2017902100"
2,Ukraine / Russland / Europäische Sicherheitspolitik,1,0.1229,85,2023-02-09,ID208506200,Adis,Ahmetovic,SPD,852,"Frau Präsidentin! Sehr geehrte Damen und Herren! Liebe Kolleginnen und Kollegen! Eines habe ich in der Schule gelernt: Falsche Aussagen bleiben falsch, egal ob sie geschrieben, gesprochen oder geschrien werden, Herr Moosdorf. Ihre Aussagen sind falsch und bleiben damit auch falsch. Vor genau einem Jahr durfte ich hier an diesem Rednerpult meine erste Rede halten – quasi zum selben Thema –, nur wenige Tage vor dem Einmarsch Russlands in die Ukraine und dem Versuch – ich betone: dem Versuch –,","Deutscher Bundestag, 85. Sitzung, 2023-02-09, Rede-ID: ID208506200"
2,Ukraine / Russland / Europäische Sicherheitspolitik,2,0.1203,75,2022-12-14,ID207500100,Olaf,Scholz,Unbekannt,2564,"Frau Präsidentin! Meine Damen und Herren! Wer die Bilder und Berichte wahrnimmt, die uns seit dem 24. Februar Tag für Tag aus der Ukraine erreichen, kann nur zu einem Ergebnis kommen: In diesen Wochen geht ein besonders schweres Jahr zu Ende. Russlands Angriffskrieg gegen die Ukraine ist ein entsetzlicher Einschnitt. Er trifft zuallererst die Ukrainerinnen und Ukrainer. Sie ertragen seit fast zehn Monaten Vertreibung und Verschleppung, Verwundung und Tod. Aber einen Einschnitt – eine Zeitenwende – bedeutet Russlands Krieg auch","Deutscher Bundestag, 75. Sitzung, 2022-12-14, Rede-ID: ID207500100"
2,Ukraine / Russland / Europäische Sicherheitspolitik,3,0.1196,19,2022-02-27,ID201901100,Christian,Dürr,FDP,1029,"Verehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Ich wollte eigentlich nicht darauf eingehen – nicht dass wir Worte der Anteilnahme für das ukrainische Volk von der AfD erwartet hätten –, aber: Die Realität in Europa so zu verzerren, wie Sie es gerade getan haben, Herr Chrupalla, ist niederträchtig. Ich will Ihnen auch sagen: Die Bundesrepublik Deutschland ist eine wehrhafte Demokratie, und zwar nach außen – das beweist die Mehrheit des Deutschen Bundestages gerade –, aber auch nach innen gegen die","Deutscher Bundestag, 19. Sitzung, 2022-02-27, Rede-ID: ID201901100"
3,"Bildung, Soziales und Kommunalfinanzierung",1,0.1197,11,2022-01-13,ID201102500,Nina,Stahr,Grüne,902,"Sehr geehrte Frau Präsidentin! Sehr geehrte Frau Ministerin! Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren! Ich freue mich sehr, heute hier zum Thema Bildungspolitik meine erste Rede halten zu dürfen. Denn was wir alle wissen, dass der Bildungserfolg von Kindern nach wie vor viel zu stark vom Elternhaus abhängt, das habe ich hautnah erfahren in fast 20 Jahren Arbeit mit Kindern und Jugendlichen – bei Kindern, deren Eltern ihnen nicht bei den Schulaufgaben helfen konnten, bei Kindern, die","Deutscher Bundestag, 11. Sitzung, 2022-01-13, Rede-ID: ID201102500"
3,"Bildung, Soziales und Kommunalfinanzierung",2,0.1189,88,2023-03-02,ID208811300,Nina,Stahr,Grüne,951,"Sehr geehrter Herr Präsident! Lieber Herr Staatssekretär! Liebe Kolleginnen und Kollegen! Liebe Gäste! Der IQB-Bildungstrend hat wieder gezeigt: Immer mehr Kinder im Grundschulalter erreichen die Mindeststandards in Deutsch und Mathe nicht. Das betrifft vor allem Kinder mit Zuwanderungsgeschichte, aber vor allem jene aus finanziell schwachen Familien. Dieser Trend verstärkt sich seit vielen Jahren; Corona hat die Situation noch mal verschlimmert. Das gilt nicht nur im klassischen Bildungswesen, in der Schule. Auch außerhalb der Schule hat die Pandemie bei Kindern und","Deutscher Bundestag, 88. Sitzung, 2023-03-02, Rede-ID: ID208811300"
3,"Bildung, Soziales und Kommunalfinanzierung",3,0.1161,122,2023-09-21,ID2012202200,Lisa,Paus,Unbekannt,784,"Frau Präsidentin! Werte Kolleginnen und Kollegen Abgeordnete! Sehr geehrte Zuschauende! Gestern war Weltkindertag, und ich freue mich, dass die Union heute ihre Vorschläge für eine Familienpolitik vorstellt. Ich gebe zu: Ich war wirklich neugierig auf Ihren Antrag; denn immerhin hat die Union hier einiges aufzuholen. 16 Jahre CDU-Kanzlerschaft haben genau dahin geführt, wo wir heute sind: in eine verfestigte, strukturelle Kinderarmut in Deutschland. Jedes fünfte Kind ist davon betroffen. Was aus Kindern wird, die in armutsgefährdeten Familien aufwachsen, das war","Deutscher Bundestag, 122. Sitzung, 2023-09-21, Rede-ID: ID2012202200"
4,Energie- und Wirtschaftspolitik,1,0.1222,91,2023-03-16,ID209101900,Katrin,Uhlig,Grüne,562,"Sehr geehrte Frau Präsidentin! Sehr geehrte Damen und Herren! Es ist unstrittig, dass eine sichere, souveräne und bezahlbare Energieversorgung gerade für den Wirtschafts- und Industriestandort Deutschland wichtig ist. Im letzten Jahr sind die Preise im Energiebereich durch den russischen Angriffskrieg auf die Ukraine und die daraus folgenden Auswirkungen massiv gestiegen. Das stellt viele Bürgerinnen und Bürger, aber auch Unternehmen vor große Herausforderungen. Deshalb haben wir als Ampel bereits im letzten Jahr eine Vielzahl von kurzfristigen Maßnahmen auf den Weg gebracht,","Deutscher Bundestag, 91. Sitzung, 2023-03-16, Rede-ID: ID209101900"
