topic,rank,term,weight
Topic 1,1,landwirte,0.6065582328187608
Topic 1,2,gesetzentwurf,0.3292426102849751
Topic 1,3,betriebe,0.3237869717316323
Topic 1,4,kollegin,0.3013603013644098
Topic 1,5,erhält,0.2852167465887976
Topic 1,6,landwirten,0.27679175409089013
Topic 1,7,also,0.27658001002166566
Topic 1,8,gesetz,0.26410257158991185
Topic 1,9,kleinen,0.2575044493919802
Topic 1,10,berechnung,0.2533039070521534
Topic 1,11,anpassung,0.24031955997032212
Topic 1,12,kollege,0.23890785695515873
Topic 1,13,kommission,0.23552720644203565
Topic 1,14,heute,0.22351169408258698
Topic 1,15,dank,0.222980464457619
Topic 2,1,maßnahmen,0.3351424564086413
Topic 2,2,lage,0.33033459826857686
Topic 2,3,impfen,0.30534540032162727
Topic 2,4,pandemie,0.2565956434092963
Topic 2,5,länder,0.24866787476464886
Topic 2,6,epidemischen,0.2204759731085872
Topic 2,7,epidemischen lage,0.21672967714960717
Topic 2,8,schulen,0.2165654833036122
Topic 2,9,ländern,0.2018290349336858
Topic 2,10,verantwortung,0.20111762475424286
Topic 2,11,was,0.20042541208983455
Topic 2,12,heute,0.18907374599292348
Topic 2,13,menschen,0.18254409557345602
Topic 2,14,kinder,0.1798421478066855
Topic 2,15,alle,0.1797500584516244
Topic 3,1,lukaschenko,0.41298600149965975
Topic 3,2,polen,0.4126993712066324
Topic 3,3,menschen,0.41020245219342555
Topic 3,4,grenze,0.38682951886007594
Topic 3,5,europäische,0.3311212831069761
Topic 3,6,europäische union,0.27266478637078434
Topic 3,7,polnischen,0.2677256415997216
Topic 3,8,europäischen,0.2562923514418859
Topic 3,9,belarus,0.251986671795982
Topic 3,10,union,0.24033087578807674
Topic 3,11,situation,0.20995124873279444
Topic 3,12,europa,0.2077257018134912
Topic 3,13,migranten,0.16363973156836228
Topic 3,14,endlich,0.15600692257909893
Topic 3,15,merkel,0.15560494820406331
Topic 4,1,wahl,1.2254735412448947
Topic 4,2,gerne,0.48922200429291907
Topic 4,3,dank,0.4507593226942316
Topic 4,4,freue,0.42536536500255195
Topic 4,5,kollegin,0.30399102043018145
Topic 4,6,vertrauen,0.2981135197673342
Topic 4,7,dank kollegin,0.260043729359492
Topic 4,8,werde,0.2525493789728057
Topic 4,9,demokratie,0.19629596981759062
Topic 4,10,dank dank,0.17231929710109256
Topic 4,11,frage,0.1174737668121056
Topic 4,12,selbst,0.10959755179291888
Topic 4,13,nächsten,0.10653902649082199
Topic 4,14,geschäftsordnung,0.10029365139055865
Topic 4,15,kollege,0.09839232867753268
Topic 5,1,deutschland,0.3236951566474827
Topic 5,2,klimaschutz,0.27805863248300894
Topic 5,3,energien,0.24674477681873525
Topic 5,4,erneuerbaren,0.2444991230958938
Topic 5,5,wie,0.24013258131560508
Topic 5,6,was,0.23783016811733926
Topic 5,7,ihnen,0.21124169902777135
Topic 5,8,thema,0.2067216150380518
Topic 5,9,glasgow,0.19970919096022838
Topic 5,10,strom,0.1974993369183177
Topic 5,11,ausbau,0.19333389566384648
Topic 5,12,welt,0.1931096109143533
Topic 5,13,energie,0.18662442738011764
Topic 5,14,letzten,0.1808799548898694
Topic 5,15,jahren,0.17825512833110316
