token,count
wie,50746
was,42612
menschen,33024
deutschland,29559
dank,24779
ihnen,24597
heute,23234
ihre,21986
alle,20595
land,19475
frage,14517
viele,14300
kollege,14194
deswegen,13974
union,13890
jahren,13763
also,13696
gut,13562
jahr,13441
wort,12698
letzten,12547
natürlich,12320
weg,12200
afd,11932
tun,11705
ihrer,11684
unserer,11558
wirklich,11217
cdu,10920
deutschen,10821
alles,10818
wichtig,10717
thema,10633
nichts,10620
anderen,10194
zeit,9863
beispiel,9794
etwas,9742
wäre,9586
klar,9500
ihren,9437
gesetz,9395
spd,9357
ukraine,9283
csu,9093
einfach,9087
allen,9049
ende,8989
unternehmen,8861
richtig,8834
deutlich,8768
bin,8708
gar,8623
endlich,8544
ihrem,8517
darüber,8246
würde,8222
andere,8222
jahre,8212
stehen,8118
gemeinsam,7991
politik,7979
vom,7899
zukunft,7825
wer,7760
unserem,7746
regierung,7686
ampel,7587
leben,7558
recht,7528
vielleicht,7480
geld,7469
steht,7459
gehört,7364
grünen,7285
kollegin,7217
erst,7147
allem,7111
selbst,7027
europa,7025
neue,6937
fdp,6937
schaffen,6808
glaube,6807
unseren,6767
sorgen,6738
sicherheit,6657
warum,6647
bürger,6599
länder,6475
arbeit,6440
sollten,6406
maßnahmen,6369
gute,6358
verantwortung,6304
deutsche,6213
leider,6211
denen,6064
welt,5979
sage,5970
gesetzentwurf,5928
gesellschaft,5850
europäischen,5844
wirtschaft,5822
fragen,5787
demokratie,5770
besser,5769
heißt,5732
kinder,5705
große,5623
nächste,5612
gilt,5589
sprechen,5565
überhaupt,5541
koalition,5511
bringen,5508
arbeiten,5484
bereich,5434
haushalt,5420
insbesondere,5389
schluss,5368
herzlichen,5329
unterstützen,5304
frauen,5212
hätten,5202
finde,5122
gerne,5098
großen,5081
setzen,5058
tatsächlich,5054
punkt,5051
möglich,5046
situation,5017
ländern,5016
dies,4998
nächsten,4984
problem,4936
unterstützung,4905
all,4870
weniger,4831
seite,4822
ziel,4812
bekommen,4803
tag,4705
hätte,4701
sogar,4647
würden,4609
weitere,4597
teil,4595
übrigens,4557
meiner,4532
kommunen,4527
blick,4522
liegt,4519
jeder,4494
minister,4490
führen,4417
mittel,4349
lage,4345
bürgerinnen,4311
bleiben,4264
lange,4263
bundeswehr,4248
bleibt,4229
sei,4197
neuen,4194
eigenen,4152
ersten,4143
aller,4119
russland,4103
krieg,4028
stärken,4011
schnell,3962
fall,3950
fordern,3915
leisten,3903
allein,3879
parlament,3846
finden,3838
zahlen,3834
welche,3822
nutzen,3810
völlig,3807
statt,3803
bund,3790
bedeutet,3732
staat,3720
weiterhin,3708
ganze,3702
könnte,3696
woche,3684
freiheit,3673
verfahren,3669
haus,3659
gleichzeitig,3634
nächster,3627
ort,3614
ministerin,3598
europäische,3589
bundeskanzler,3565
gab,3558
schritt,3550
wochen,3509
unseres,3508
schutz,3501
linke,3493
aufgabe,3491
bündnis,3482
solche,3481
schön,3478
gebracht,3472
halten,3455
jeden,3447
probleme,3416
notwendig,3404
wichtige,3403
zusammen,3401
angesprochen,3381
kosten,3371
lieber,3369
geehrter,3361
erreichen,3344
bisschen,3338
beispielsweise,3326
weit,3308
herausforderungen,3270
dringend,3247
anders,3224
handeln,3219
soldaten,3204
einige,3196
investitionen,3177
sicher,3175
damals,3164
folgen,3147
landes,3135
werte,3124
dinge,3110
bisher,3106
passiert,3087
klimaschutz,3063
möglichkeit,3031
vorschläge,2955
kurz,2953
gestellt,2949
monaten,2946
zeiten,2945
freue,2940
rahmen,2933
antwort,2921
einsatz,2916
koalitionsvertrag,2910
bildung,2905
schauen,2897
etwa,2897
insgesamt,2895
helfen,2859
verfügung,2855
beitrag,2845
diejenigen,2839
indem,2838
jede,2829
guten,2820
gesprochen,2811
entscheidung,2786
bevölkerung,2783
ernst,2772
infrastruktur,2769
wichtiger,2762
sowie,2757
staaten,2753
diskutieren,2752
familien,2741
hören,2740
zurück,2732
digitalisierung,2732
zusammenarbeit,2721
führt,2718
umsetzung,2702
politischen,2691
lösung,2688
politische,2677
genauso,2674
weiteren,2659
ehrlich,2655
entwicklung,2644
innen,2644
gleich,2636
inflation,2627
energie,2622
letzte,2612
erhalten,2611
china,2610
opposition,2598
energien,2597
seiner,2587
schützen,2584
sicht,2564
beschlossen,2562
gestern,2528
könnten,2512
demokratischen,2506
dingen,2490
vergangenen,2484
jahres,2476
nachfrage,2475
putin,2469
hohen,2459
ampelkoalition,2456
krise,2447
erstens,2440
falsch,2433
ausbau,2433
vertrauen,2426
vorschlag,2424
verehrten,2417
aktuellen,2411
fest,2409
forschung,2406
deren,2401
zweitens,2396
herrn,2395
ausdrücklich,2394
tragen,2390
reform,2390
richtige,2379
internationalen,2378
nato,2375
raum,2371
gas,2359
sozialen,2348
konkret,2347
partei,2341
gegenteil,2337
punkte,2333
grund,2330
richtung,2329
leute,2326
anderes,2325
meinen,2315
wahrheit,2307
hand,2300
sinne,2299
tagen,2296
angesichts,2294
liegen,2285
aufmerksamkeit,2285
aufgrund,2279
frieden,2277
denken,2263
gewalt,2262
landwirtschaft,2252
hilfe,2244
investieren,2231
pandemie,2228
interesse,2228
geschichte,2227
aktuell,2225
daten,2224
lösungen,2213
morgen,2211
stark,2210
ermöglichen,2209
erneuerbaren,2201
anfang,2195
sache,2193
kommission,2180
ändern,2177
genug,2172
geführt,2170
hinaus,2168
komme,2162
ganzen,2160
berlin,2160
paar,2150
bauen,2147
dadurch,2146
merz,2145
soziale,2138
förderung,2134
realität,2131
wichtigen,2119
ergebnis,2118
getan,2114
chance,2098
entscheidungen,2096
weise,2095
selbstverständlich,2094
mehrheit,2093
habeck,2087
öffentlichen,2081
offensichtlich,2081
jedes,2066
niemand,2054
industrie,2049
grundlage,2048
rolle,2045
deutschlands,2042
verhindern,2041
grüne,2034
hause,2028
strom,2025
regeln,2021
entscheiden,2019
wären,2009
scholz,2000
zumindest,1995
zahl,1993
egal,1991
betroffenen,1991
eigene,1990
strategie,1989
erleben,1987
bürokratie,1985
meinem,1984
erreicht,1983
rund,1981
erinnern,1979
soldatinnen,1977
stimmen,1972
bereit,1964
vergangenheit,1962
neu,1961
treffen,1957
gesehen,1957
mittlerweile,1955
pro,1954
kraft,1950
gerecht,1943
großer,1941
umgesetzt,1941
kindern,1939
solchen,1937
innerhalb,1935
erhält,1934
konnten,1929
klare,1926
programm,1910
sonst,1892
satz,1891
parteien,1884
region,1882
schuldenbremse,1878
möglichkeiten,1873
themen,1873
durchaus,1871
russischen,1866
seinen,1864
finanzierung,1864
funktioniert,1861
migration,1858
selber,1857
längst,1848
tat,1832
junge,1832
usa,1829
zunächst,1828
kleinen,1827
dankbar,1823
vorgelegt,1823
gutes,1823
meinung,1821
bringt,1810
system,1810
lösen,1804
entwurf,1801
schneller,1800
bessere,1799
entsprechend,1792
ebene,1791
schulen,1787
ziele,1786
verbessern,1781
glauben,1779
erfolg,1779
zustimmen,1776
besteht,1772
miteinander,1764
monate,1764
fördern,1764
angst,1762
regelungen,1760
tut,1758
erklären,1757
zwischenfrage,1756
hilft,1755
gefordert,1752
weltweit,1750
zweiten,1749
antworten,1743
bzw,1743
art,1738
verstehen,1736
legen,1736
vergessen,1735
beiden,1734
internationale,1733
übrigen,1728
unterstützt,1728
spricht,1727
israel,1726
größte,1726
stärker,1719
werde,1714
ihres,1713
form,1710
erhöhen,1708
derzeit,1706
höhe,1703
regelung,1698
zusammenhang,1698
ausbildung,1698
versuchen,1697
gefahr,1696
nennen,1695
einzige,1689
anspruch,1686
gezeigt,1684
bundesrepublik,1675
einigen,1674
umsetzen,1673
verehrte,1669
hohe,1667
gekommen,1663
zitiere,1656
opfer,1651
krisen,1649
betrifft,1641
moment,1638
unionsfraktion,1634
beraten,1633
genommen,1631
teilen,1627
konkrete,1622
versorgung,1622
gemeinsame,1621
linken,1614
signal,1611
fehlt,1611
schafft,1604
wahrscheinlich,1604
kennen,1598
forderungen,1598
sogenannten,1595
anderem,1593
bericht,1592
erwarten,1588
diskussion,1586
offen,1578
demokraten,1576
einkommen,1574
dagegen,1574
darin,1573
ziehen,1571
interessen,1567
verlassen,1564
bürgergeld,1563
reicht,1561
familie,1560
erwähnt,1557
klima,1554
steuern,1552
kritik,1551
überall,1549
bewusst,1547
bedeutung,1545
beschäftigten,1543
künftig,1543
teilweise,1542
setzt,1539
aktuelle,1537
frei,1536
stunde,1530
einzelnen,1530
stattdessen,1530
insofern,1528
tage,1528
geschaffen,1528
froh,1527
massiv,1525
wissenschaft,1525
hoch,1522
entlasten,1522
jedem,1521
projekte,1516
vorliegenden,1515
entschieden,1513
aufgaben,1511
transformation,1508
einig,1505
wirtschaftliche,1504
richtigen,1500
grenzen,1497
respekt,1496
zusätzlich,1494
sondervermögen,1492
bürgern,1489
direkt,1487
kleine,1487
jungen,1485
dessen,1485
grundgesetz,1484
kampf,1484
personen,1483
findet,1482
beginn,1474
sicherlich,1472
schreiben,1469
wohlstand,1468
besten,1465
mitte,1464
denke,1461
partner,1460
später,1457
beschließen,1456
digitale,1453
bevor,1451
ebenso,1451
jedenfalls,1447
gesetze,1447
eltern,1447
inzwischen,1444
zeitenwende,1439
zulassen,1437
meisten,1437
erhöhung,1437
manchmal,1435
fehler,1435
hintergrund,1431
ebenfalls,1430
gesundheit,1428
auswirkungen,1428
einsetzen,1427
ausland,1427
stärkung,1426
versucht,1425
rechte,1423
nationalen,1421
januar,1414
legislaturperiode,1413
zustimmung,1412
müssten,1411
augen,1409
sorge,1409
länger,1408
kommenden,1406
engagement,1406
gehören,1405
sanktionen,1403
laut,1400
wichtiges,1397
wann,1395
arbeitsmarkt,1395
entlastung,1394
diskutiert,1392
sofort,1390
forderung,1387
anhörung,1386
eindruck,1384
arbeitsplätze,1382
gründen,1382
winter,1375
bereichen,1375
preise,1375
zitat,1375
chancen,1374
bahn,1373
rechts,1372
hoffe,1372
rahmenbedingungen,1371
fordert,1369
groß,1368
schwer,1367
wollten,1367
daraus,1366
ordnung,1366
bayern,1366
seien,1363
persönlich,1363
alleine,1359
größten,1357
grundsätzlich,1356
genannt,1351
unterschied,1350
gemeinsamen,1350
drittens,1348
antisemitismus,1348
idee,1347
lang,1346
politisch,1343
geschafft,1341
angriffskrieg,1339
bekämpfen,1338
rechtsstaat,1337
kultur,1333
bekannt,1333
pflege,1332
digitalen,1332
zeichen,1331
möglichst,1330
heutigen,1329
kämpfen,1326
vorhaben,1324
wohnungen,1324
sehe,1323
wahlkreis,1322
sinnvoll,1322
warten,1319
guter,1319
erkennen,1316
bafög,1316
mindestens,1314
verdient,1312
hingewiesen,1312
